x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0,0,0,0,0,0,0,0,0.3,0.6,0,0.7
0,0,0,0,0,0,0,0,0.24,0.48,0,0.56
0,0,0,0,0,0,0,0,0.192,0.384,0,0.448
0,0,0,0,0,0,0,0,0.1536,0.3072,0,0.3584
0,0,0,0,0,0,0,0,0.12288,0.24576,0,0.28672
0,0,0,0,0,0,0,0,0.098304,0.196608,0,0.229376
0,0,0,0,0,0,0,0,0.0786432,0.1572864,0,0.1835008
0,0,0,0,0,0,0,0,0.06291456,0.12582912,0,0.14680064
0,0,0,0,0,0,0,0,0.050331648,0.100663296,0,0.117440512
0,0,0,0,0,0,0,0,0.040265318,0.080530637,0,0.09395241
0,0,0,0,0,0,0,0,0.032212255,0.064424509,0,0.075161928
0,0,0,0,0,0,0,0,0.025769804,0.051539608,0,0.060129542
0,0,0,0,0,0,0,0,0.020615843,0.041231686,0,0.048103634
0,0,0,0,0,0,0,0,0.016492674,0.032985349,0,0.038482907
0,0,0,0,0,0,0,0,0.01319414,0.026388279,0,0.030786326
0,0,0,0,0,0,0,0,0.010555312,0.021110623,0,0.02462906
0,0,0,0,0,0,0,0,0.008444249,0.016888499,0,0.019703248
0,0,0,0,0,0,0,0,0.006755399,0.013510799,0,0.015762599
0,0,0,0,0,0,0,0,0.00540432,0.010808639,0,0.012610079
0,0,0,0,0,0,0,0,0.004323456,0.008646911,0,0.010088063
0,0,0,0,0,0,0,0,0.003458765,0.006917529,0,0.008070451
0,0,0,0,0,0,0,0,0.002767012,0.005534023,0,0.00645636
0,0,0,0,0,0,0,0,0.002213609,0.004427219,0,0.005165088
0,0,0,0,0,0,0,0,0.001770887,0.003541775,0,0.004132071
0,0,0,0,0,0,0,0,0.00141671,0.00283342,0,0.003305657
0,0,0,0,0,0,0,0,0.001133368,0.002266736,0,0.002644525
0,0,0,0,0,0,0,0,0.000906694,0.001813389,0,0.00211562
0,0,0,0,0,0,0,0,0.000725355,0.001450711,0,0.001692496
0,0,0,0,0,0,0,0,0.000580284,0.001160569,0,0.001353997
0,0,0,0,0,0,0,0,0.000464228,0.000928455,0,0.001083198
0,0,0,0,0,0,0,0,0.000371382,0.000742764,0,0.000866558
0,0,0,0,0,0,0,0,0.000297106,0.000594211,0,0.000693246
0,0,0,0,0,0,0,0,0.000237684,0.000475369,0,0.000554597
0,0,0,0,0,0,0,0,0.000190148,0.000380295,0,0.000443678
0,0,0,0,0,0,0,0,0.000152118,0.000304236,0,0.000354942
0,0,0,0,0,0,0,0,0.000121694,0.000243389,0,0.000283954
0,0,0,0,0,0,0,0,9.73556E-05,0.000194711,0,0.000227163
0,0,0,0,0,0,0,0,7.78845E-05,0.000155769,0,0.00018173
0,0,0,0,0,0,0,0,6.23076E-05,0.000124615,0,0.000145384
0,0,0,0,0,0,0,0,4.9846E-05,9.96921E-05,0,0.000116307
0,0,0,0,0,0,0,0,3.98768E-05,7.97537E-05,0,9.3046E-05
0,0,0,0,0,0,0,0,3.19015E-05,6.38029E-05,0,7.44368E-05
0,0,0,0,0,0,0,0,2.55212E-05,5.10424E-05,0,5.95494E-05
0,0,0,0,0,0,0,0,2.04169E-05,4.08339E-05,0,4.76395E-05
0,0,0,0,0,0,0,0,1.63336E-05,3.26671E-05,0,3.81116E-05
0,0,0,0,0,0,0,0,1.30668E-05,2.61337E-05,0,3.04893E-05
0,0,0,0,0,0,0,0,1.04535E-05,2.09069E-05,0,2.43914E-05
0,0,0,0,0,0,0,0,8.36278E-06,1.67256E-05,0,1.95132E-05
0,0,0,0,0,0,0,0,6.69022E-06,1.33804E-05,0,1.56105E-05
0,0,0,0,0,0,0,0,5.35218E-06,1.07044E-05,0,1.24884E-05
0,0,0,0,0,0,0,0,4.28174E-06,8.56349E-06,0,9.99073E-06
0,0,0,0,0,0,0,0,3.42539E-06,6.85079E-06,0,7.99259E-06
0,0,0,0,0,0,0,0,2.74032E-06,5.48063E-06,0,6.39407E-06
0,0,0,0,0,0,0,0,2.19225E-06,4.3845E-06,0,5.11526E-06
0,0,0,0,0,0,0,0,1.7538E-06,3.5076E-06,0,4.0922E-06
0,0,0,0,0,0,0,0,1.40304E-06,2.80608E-06,0,3.27376E-06
0,0,0,0,0,0,0,0,1.12243E-06,2.24487E-06,0,2.61901E-06
0,0,0,0,0,0,0,0,8.97947E-07,1.79589E-06,0,2.09521E-06
0,0,0,0,0,0,0,0,7.18357E-07,1.43671E-06,0,1.67617E-06
0,0,0,0,0,0,0,0,5.74686E-07,1.14937E-06,0,1.34093E-06
